Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,Zmiana %,index
06.04.2023,107.80,108.66,106.00,106.20,246748,1.51,1
05.04.2023,109.10,109.10,107.00,107.84,202352,1.17,2
04.04.2023,109.60,110.10,107.94,108.44,292127,1.07,3
03.04.2023,110.94,111.00,106.44,108.06,603616,2.67,4
31.03.2023,120.00,124.40,111.22,111.22,1575543,7.89,5
30.03.2023,110.22,114.70,109.74,113.28,751779,-2.7,6
29.03.2023,110.00,110.84,105.52,110.18,470410,-0.16,7
28.03.2023,114.76,114.78,108.90,109.00,593245,5.28,8
27.03.2023,111.50,114.36,110.52,114.06,355488,-2.24,9
24.03.2023,110.00,113.20,109.52,110.60,635854,-0.54,10
23.03.2023,112.22,113.20,109.22,110.00,885634,2.02,11
22.03.2023,115.44,116.40,112.32,112.78,793652,2.36,12
21.03.2023,125.50,127.70,114.90,116.46,1283726,7.76,13
20.03.2023,130.00,132.28,128.82,130.72,192225,-0.55,14
17.03.2023,135.20,136.30,130.28,131.00,530350,3.21,15
16.03.2023,131.50,135.40,130.00,135.40,365862,-2.88,16
15.03.2023,130.00,132.56,128.82,129.36,257203,0.49,17
14.03.2023,127.04,132.40,127.00,130.00,412439,-2.28,18
13.03.2023,128.72,130.04,120.80,127.08,412405,1.29,19
10.03.2023,130.90,131.20,127.62,128.70,187719,1.71,20
09.03.2023,132.00,133.78,131.46,132.18,134126,-0.14,21
08.03.2023,134.68,134.68,131.46,132.26,174683,1.83,22
07.03.2023,132.50,134.80,131.40,133.46,169147,-0.72,23
06.03.2023,132.00,132.50,130.20,132.20,177401,-0.15,24
03.03.2023,132.00,133.54,129.70,130.66,235163,1.03,25
02.03.2023,132.00,132.30,129.42,130.80,201939,0.92,26
01.03.2023,133.86,135.60,131.90,132.26,203936,1.21,27
28.02.2023,132.12,133.84,130.70,132.40,207581,-0.21,28
27.02.2023,130.00,133.04,129.38,132.12,133393,-1.6,29
24.02.2023,134.14,134.14,129.46,129.52,170550,3.57,30
23.02.2023,132.06,135.86,132.06,134.50,180542,-1.81,31
22.02.2023,131.20,132.56,129.16,131.56,154144,-0.27,32
21.02.2023,136.00,136.00,131.22,131.22,352516,3.64,33
20.02.2023,136.24,137.74,135.10,136.34,91629,-0.07,34
17.02.2023,139.00,139.34,135.82,135.82,201949,2.34,35
16.02.2023,139.16,140.64,136.80,139.52,145150,-0.26,36
15.02.2023,133.70,138.50,133.30,138.40,126874,-3.4,37
14.02.2023,140.50,143.00,133.80,134.24,286175,4.66,38
13.02.2023,139.60,140.38,137.00,138.90,334401,0.5,39
10.02.2023,140.68,141.10,136.18,138.64,795935,1.47,40
09.02.2023,143.00,143.66,141.10,141.48,143707,1.07,41
08.02.2023,142.56,145.40,141.52,141.70,185104,0.61,42
07.02.2023,141.98,141.98,136.02,141.28,324216,0.5,43
06.02.2023,145.60,145.94,141.32,142.56,263532,2.13,44
03.02.2023,146.98,148.54,144.56,146.80,471926,0.12,45
02.02.2023,141.50,148.16,140.14,145.78,574696,-2.94,46
01.02.2023,139.50,141.84,137.18,138.28,353195,0.88,47
31.01.2023,134.24,140.32,133.00,139.32,674466,-3.65,48
30.01.2023,133.50,134.00,131.20,132.80,321847,0.53,49
27.01.2023,135.00,136.42,133.40,133.90,123915,0.82,50
