Nazwa,Cena,Zmiana %
ACP (ASSECOPOL),75.05,(+0.07%),37 717
ALE (ALLEGRO),30.370,(-0.74%),1 454 444
ALR (ALIOR),40.23,(+2.37%),364 444
CDR (CDPROJEKT),108.44,(+0.35%),292 127
CPS (CYFRPLSAT),16.180,(-1.94%),278 109
DNP (DINOPL),389.40,(+0.49%),138 324
JSW,45.78,(-2.60%),434 767
KGH (KGHM),118.45,(-1.82%),538 364
KRU (KRUK),320.80,(+2.17%),25 143
KTY (KETY),520.00,(-1.52%),6 567
LPP,9730.00,(+0.31%),782
MBK (MBANK),324.40,(+1.69%),30 444
OPL (ORANGEPL),6.838,(-0.15%),457 758
PCO (PEPCO),40.90,(-0.87%),162 727
PEO (PEKAO),86.94,(-0.18%),426 295
PGE,6.216,(-0.70%),1 473 545
PKN (PKNORLEN),59.30,(-0.80%),1 314 317
PKO (PKOBP),28.89,(-0.55%),1 244 435
PZU,36.00,(+2.27%),1 783 342
SPL (SANPL),298.80,(-0.40%),44 883
